"","PROBEID","SYMBOL","ENTREZID","ENSEMBL","GENENAME"
"54","1435996_at","Card11","108723","ENSMUSG00000036526","caspase recruitment domain family, member 11"
"55","1450808_at","Fpr1","14293","ENSMUSG00000045551","formyl peptide receptor 1"
"56","1419709_at","Stfa3","20863","ENSMUSG00000054905","stefin A3"
"57","1420361_at","Slc11a1","18173","ENSMUSG00000026177","solute carrier family 11 (proton-coupled divalent metal ion transporters), member 1"
"58","1452952_at","Fam217b","71532","ENSMUSG00000070476","family with sequence similarity 217, member B"
"59","1449360_at","Csf2rb2","12984","ENSMUSG00000071714","colony stimulating factor 2 receptor, beta 2, low-affinity (granulocyte-macrophage)"
"60","1418353_at","Cd5","12507","ENSMUSG00000024669","CD5 antigen"
"61","1419132_at","Tlr2","24088","ENSMUSG00000027995","toll-like receptor 2"
"62","1420591_at","Gpr84","80910","ENSMUSG00000063234","G protein-coupled receptor 84"
"63","1427256_at","Vcan","13003","ENSMUSG00000021614","versican"
"64","1451537_at","Chi3l1","12654","ENSMUSG00000064246","chitinase 3 like 1"
"65","1421375_a_at","S100a6","20200","ENSMUSG00000001025","S100 calcium binding protein A6 (calcyclin)"
"66","1426170_a_at","Cd8b1","12526","ENSMUSG00000053044","CD8 subunit beta 1"
"67","1453568_at","Dapl1","76747","ENSMUSG00000026989","death associated protein-like 1"
"68","1449027_at","Rhou","69581","ENSMUSG00000039960","ras homolog family member U"
"69","1421844_at","Il1rap","16180","ENSMUSG00000022514","interleukin 1 receptor accessory protein"
"70","1447284_at","Trem1","58217","ENSMUSG00000042265","triggering receptor expressed on myeloid cells 1"
"71","1455340_at","Dennd5b","320560","ENSMUSG00000030313","DENN domain containing 5B"
"72","1419394_s_at","S100a8","20201","ENSMUSG00000056054","S100 calcium binding protein A8 (calgranulin A)"
"73","1427442_a_at","App","11820","ENSMUSG00000022892","amyloid beta precursor protein"
"74","1436530_at","Wfdc17","100034251","ENSMUSG00000069792","WAP four-disulfide core domain 17"
"75","1416617_at","Acss1","68738","ENSMUSG00000027452","acyl-CoA synthetase short-chain family member 1"
"76","1416983_s_at","Foxo1","56458","ENSMUSG00000044167","forkhead box O1"
"77","1420330_at","Clec4e","56619","ENSMUSG00000030142","C-type lectin domain family 4, member e"
"78","1437113_s_at","Pld1","18805","ENSMUSG00000027695","phospholipase D1"
"79","1424032_at","Hvcn1","74096","ENSMUSG00000064267","hydrogen voltage-gated channel 1"
"80","1439902_at","C5ar1","12273","ENSMUSG00000049130","complement component 5a receptor 1"
"81","1422775_at","Blk","12143","ENSMUSG00000014453","B lymphoid kinase"
"82","1448681_at","Il15ra","16169","ENSMUSG00000023206","interleukin 15 receptor, alpha chain"
"83","1454713_s_at","Hdc","15186","ENSMUSG00000027360","histidine decarboxylase"
"84","1436423_at","Themis","210757","ENSMUSG00000049109","thymocyte selection associated"
"85","1419764_at","Chil3","12655","ENSMUSG00000040809","chitinase-like 3"
"86","1428466_at","Chd3","216848","ENSMUSG00000018474","chromodomain helicase DNA binding protein 3"
"87","1460330_at","Anxa3","11745","ENSMUSG00000029484","annexin A3"
"88","1455899_x_at","Socs3","12702","ENSMUSG00000053113","suppressor of cytokine signaling 3"
"89","1441317_x_at","Jakmip1","76071","ENSMUSG00000063646","janus kinase and microtubule interacting protein 1"
"90","1418762_at","Cd55","13136","ENSMUSG00000026399","CD55 molecule, decay accelerating factor for complement"
"91","1418401_a_at","Dusp16","70686","ENSMUSG00000030203","dual specificity phosphatase 16"
"92","1455940_x_at","Wdr6","83669","ENSMUSG00000066357","WD repeat domain 6"
"93","1417894_at","Adgrg3","54672","ENSMUSG00000060470","adhesion G protein-coupled receptor G3"
"94","1442339_at","Stfa2l1","268885","ENSMUSG00000059657","stefin A2 like 1"
"95","1448511_at","Ptprcap","19265","ENSMUSG00000045826","protein tyrosine phosphatase receptor type C polypeptide-associated protein"
"96","1416654_at","Slc31a2","20530","ENSMUSG00000066152","solute carrier family 31, member 2"
"97","1419907_s_at","Fcrla","98752","ENSMUSG00000038421","Fc receptor-like A"
"98","1425951_a_at","Clec4n","56620","ENSMUSG00000023349","C-type lectin domain family 4, member n"
"99","1437514_at","B430306N03Rik","320148","ENSMUSG00000043740","RIKEN cDNA B430306N03 gene"
"100","1426112_a_at","Cd72","12517","ENSMUSG00000028459","CD72 antigen"
"101","1425822_a_at","Dtx1","14357","ENSMUSG00000029603","deltex 1, E3 ubiquitin ligase"
"102","1448559_at","Flot1","14251","ENSMUSG00000059714","flotillin 1"
"103","1420407_at","Ltb4r1","16995","ENSMUSG00000046908","leukotriene B4 receptor 1"
"104","1437356_at","Gpr183","321019","ENSMUSG00000051212","G protein-coupled receptor 183"
"105","1455019_x_at","Ckap4","216197","ENSMUSG00000046841","cytoskeleton-associated protein 4"
"106","1444090_at","Pram1","378460","ENSMUSG00000032739","PML-RAR alpha-regulated adaptor molecule 1"
"107","1450513_at","Cd33","12489","ENSMUSG00000004609","CD33 molecule"
"108","1417074_at","Ceacam10","26366","ENSMUSG00000054169","CEA cell adhesion molecule 10"
"109","1433428_x_at","Tgm2","21817","ENSMUSG00000037820","transglutaminase 2, C polypeptide"
"110","1452521_a_at","Plaur","18793","ENSMUSG00000046223","plasminogen activator, urokinase receptor"
"111","1447100_s_at","Fam241a","70617","ENSMUSG00000050549","family with sequence similarity 241, member A"
"112","1422576_at","Atxn10","54138","ENSMUSG00000016541","ataxin 10"
"113","1422704_at","Gk","14933","ENSMUSG00000025059","glycerol kinase"
"114","1453266_at","Zbtb4","75580","ENSMUSG00000018750","zinc finger and BTB domain containing 4"
"115","1421479_at","Zfp318","57908","ENSMUSG00000015597","zinc finger protein 318"
"116","1420611_at","Prkacb","18749","ENSMUSG00000005034","protein kinase, cAMP dependent, catalytic, beta"
"117","1450009_at","Ltf","17002","ENSMUSG00000032496","lactotransferrin"
"118","1416435_at","Ltbr","17000","ENSMUSG00000030339","lymphotoxin B receptor"
"119","1434521_at","Rfx7","319758","ENSMUSG00000037674","regulatory factor X, 7"
"120","1456147_at","St8sia6","241230","ENSMUSG00000003418","ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 6"
"121","1419091_a_at","Anxa2","12306","ENSMUSG00000032231","annexin A2"
"122","1424302_at","Pirb","18733","ENSMUSG00000058818","paired Ig-like receptor B"
"123","1448689_at","Rras2","66922","ENSMUSG00000055723","related RAS viral (r-ras) oncogene 2"
"124","1452016_at","Alox5ap","11690","ENSMUSG00000060063","arachidonate 5-lipoxygenase activating protein"
"125","1448354_at","G6pdx","14381","ENSMUSG00000031400","glucose-6-phosphate dehydrogenase X-linked"
"126","1452717_at","Slc25a24","229731","ENSMUSG00000040322","solute carrier family 25 (mitochondrial carrier, phosphate carrier), member 24"
"127","1418553_at","Arhgef18","102098","ENSMUSG00000004568","Rho/Rac guanine nucleotide exchange factor 18"
"128","1419609_at","Ccr1","12768","ENSMUSG00000025804","C-C motif chemokine receptor 1"
"129","1421926_at","Mapk11","19094","ENSMUSG00000053137","mitogen-activated protein kinase 11"
"130","1417933_at","Igfbp6","16012","ENSMUSG00000023046","insulin-like growth factor binding protein 6"
"131","1456792_at","Tbc1d2","381605","ENSMUSG00000039813","TBC1 domain family, member 2"
"132","1452389_at","Cd27","21940","ENSMUSG00000030336","CD27 antigen"
"133","1425086_a_at","Slamf6","30925","ENSMUSG00000015314","SLAM family member 6"
"134","1426808_at","Lgals3","16854","ENSMUSG00000050335","lectin, galactose binding, soluble 3"
"135","1456388_at","Atp11a","50770","ENSMUSG00000031441","ATPase, class VI, type 11A"
"136","1425895_a_at","Id1","15901","ENSMUSG00000042745","inhibitor of DNA binding 1, HLH protein"
"137","1416111_at","Cd83","12522","ENSMUSG00000015396","CD83 antigen"
"138","1451006_at","Xdh","22436","ENSMUSG00000024066","xanthine dehydrogenase"
"139","1416630_at","Id3","15903","ENSMUSG00000007872","inhibitor of DNA binding 3"
"140","1425396_a_at","Lck","16818","ENSMUSG00000000409","lymphocyte protein tyrosine kinase"
"141","1448618_at","Mvp","78388","ENSMUSG00000030681","major vault protein"
"142","1434260_at","Fchsd2","207278","ENSMUSG00000030691","FCH and double SH3 domains 2"
"143","1431997_at","3000002C10Rik","378954",NA,"glyceraldehyde-3-phosphate dehydrogenase pseudogene"
"144","1455452_x_at","Kctd14","233529","ENSMUSG00000051727","potassium channel tetramerisation domain containing 14"
"145","1416996_at","Tbc1d8","54610","ENSMUSG00000003134","TBC1 domain family, member 8"
"146","1428700_at","P2ry13","74191","ENSMUSG00000036362","purinergic receptor P2Y, G-protein coupled 13"
"147","1454893_at","Entrep3","68521","ENSMUSG00000032657","endosomal transmembrane epsin interactor 3"
"148","1437223_s_at","Xbp1","22433","ENSMUSG00000020484","X-box binding protein 1"
"149","1450350_a_at","Jdp2","81703","ENSMUSG00000034271","Jun dimerization protein 2"
"150","1436421_s_at","Arpc5l","74192","ENSMUSG00000026755","actin related protein 2/3 complex, subunit 5-like"
"151","1416065_a_at","Ankrd10","102334","ENSMUSG00000031508","ankyrin repeat domain 10"
"152","1418685_at","Tirap","117149","ENSMUSG00000032041","toll-interleukin 1 receptor (TIR) domain-containing adaptor protein"
"153","1453851_a_at","Gadd45g","23882","ENSMUSG00000021453","growth arrest and DNA-damage-inducible 45 gamma"
"154","1417297_at","Itpr3","16440","ENSMUSG00000042644","inositol 1,4,5-triphosphate receptor 3"
"155","1421291_at","Il18rap","16174","ENSMUSG00000026068","interleukin 18 receptor accessory protein"
"156","1436819_at","Septin6","56526","ENSMUSG00000050379","septin 6"
"157","1422122_at","Fcer2a","14128","ENSMUSG00000005540","Fc receptor, IgE, low affinity II, alpha polypeptide"
"158","1423135_at","Thy1","21838","ENSMUSG00000032011","thymus cell antigen 1, theta"
"159","1449184_at","Pglyrp1","21946","ENSMUSG00000030413","peptidoglycan recognition protein 1"
"160","1418497_at","Fgf13","14168","ENSMUSG00000031137","fibroblast growth factor 13"
"161","1455132_at","Rasal3","320484","ENSMUSG00000052142","RAS protein activator like 3"
"162","1421173_at","Irf4","16364","ENSMUSG00000021356","interferon regulatory factor 4"
"163","1437760_at","Galnt12","230145","ENSMUSG00000039774","polypeptide N-acetylgalactosaminyltransferase 12"
"164","1455656_at","Btla","208154","ENSMUSG00000052013","B and T lymphocyte associated"
"165","1416359_at","Snx18","170625","ENSMUSG00000042364","sorting nexin 18"
"166","1419226_at","Cd96","84544","ENSMUSG00000022657","CD96 antigen"
"167","1448291_at","Mmp9","17395","ENSMUSG00000017737","matrix metallopeptidase 9"
"168","1449455_at","Hck","15162","ENSMUSG00000003283","hemopoietic cell kinase"
"169","1426550_at","Sidt1","320007","ENSMUSG00000022696","SID1 transmembrane family, member 1"
"170","1417741_at","Pygl","110095","ENSMUSG00000021069","liver glycogen phosphorylase"
"171","1442023_at","A530030E21Rik","320731",NA,"RIKEN cDNA A530030E21 gene"
"172","1416107_at","Nsg2","18197","ENSMUSG00000020297","neuron specific gene family member 2"
"173","1419178_at","Cd3g","12502","ENSMUSG00000002033","CD3 antigen, gamma polypeptide"
"174","1419744_at","H2-DMb2","15000","ENSMUSG00000037548","histocompatibility 2, class II, locus Mb2"
"175","1428509_at","Myo1e","71602","ENSMUSG00000032220","myosin IE"
"176","1451780_at","Blnk","17060","ENSMUSG00000061132","B cell linker"
"177","1419768_at","Cd22","12483","ENSMUSG00000030577","CD22 antigen"
"178","1451190_a_at","Sbk1","104175","ENSMUSG00000042978","SH3-binding kinase 1"
"179","1459900_at","C79468","97294",NA,"expressed sequence C79468"
"180","1419598_at","Ms4a6d","68774","ENSMUSG00000024679","membrane-spanning 4-domains, subfamily A, member 6D"
"181","1448919_at","Cd302","66205","ENSMUSG00000060703","CD302 antigen"
"182","1453119_at","Otud1","71198","ENSMUSG00000043415","OTU domain containing 1"
"183","1454762_at","Xkrx","331524","ENSMUSG00000031258","X-linked Kx blood group related, X-linked"
"184","1422502_at","Parp1","11545","ENSMUSG00000026496","poly (ADP-ribose) polymerase family, member 1"
"185","1434958_at","Sacs","50720","ENSMUSG00000048279","sacsin"
"186","1428719_at","Iglc2","110786","ENSMUSG00000076937","immunoglobulin lambda constant 2"
"187","1425065_at","Oas2","246728","ENSMUSG00000032690","2'-5' oligoadenylate synthetase 2"
"188","1440837_at","H2-Ob","15002","ENSMUSG00000041538","histocompatibility 2, O region beta locus"
"189","1448960_at","Cxxc5","67393","ENSMUSG00000046668","CXXC finger 5"
"190","1448856_a_at","Msra","110265","ENSMUSG00000054733","methionine sulfoxide reductase A"
"191","1448881_at","Hp","15439","ENSMUSG00000031722","haptoglobin"
"192","1452821_at","Tial1","21843","ENSMUSG00000030846","Tia1 cytotoxic granule-associated RNA binding protein-like 1"
"193","1431055_a_at","Snx10","71982","ENSMUSG00000038301","sorting nexin 10"
"194","1428637_at","Dyrk2","69181","ENSMUSG00000028630","dual-specificity tyrosine phosphorylation regulated kinase 2"
"195","1448647_at","Man2a1","17158","ENSMUSG00000024085","mannosidase 2, alpha 1"
"196","1443932_at","Klhdc1","271005","ENSMUSG00000051890","kelch domain containing 1"
"197","1452367_at","Coro2a","107684","ENSMUSG00000028337","coronin, actin binding protein 2A"
"198","1454795_at","Cobll1","319876","ENSMUSG00000034903","Cobl-like 1"
"199","1436941_at","Nxpe3","385658","ENSMUSG00000075033","neurexophilin and PC-esterase domain family, member 3"
"200","1448788_at","Cd200","17470","ENSMUSG00000022661","CD200 molecule"
"201","1448485_at","Ggt1","14598","ENSMUSG00000006345","gamma-glutamyltransferase 1"
"202","1427381_at","Acod1","16365","ENSMUSG00000022126","aconitate decarboxylase 1"
"203","1436515_at","Bach2","12014","ENSMUSG00000040270","BTB and CNC homology, basic leucine zipper transcription factor 2"
"204","1421410_a_at","Pstpip2","19201","ENSMUSG00000025429","proline-serine-threonine phosphatase-interacting protein 2"
"205","1428094_at","Lamp2","16784","ENSMUSG00000016534","lysosomal-associated membrane protein 2"
"206","1446957_s_at","N4bp1","80750","ENSMUSG00000031652","NEDD4 binding protein 1"
"207","1429088_at","Lbh","77889","ENSMUSG00000024063","limb-bud and heart"
"208","1421408_at","Igsf6","80719","ENSMUSG00000035004","immunoglobulin superfamily, member 6"
"209","1451370_at","Ccdc107","622404","ENSMUSG00000028461","coiled-coil domain containing 107"
"210","1450446_a_at","Socs1","12703","ENSMUSG00000038037","suppressor of cytokine signaling 1"
"211","1416871_at","Adam8","11501","ENSMUSG00000025473","a disintegrin and metallopeptidase domain 8"
"212","1449508_at","Il27ra","50931","ENSMUSG00000005465","interleukin 27 receptor, alpha"
"213","1451021_a_at","Klf5","12224","ENSMUSG00000005148","Kruppel-like transcription factor 5"
"214","1450570_a_at","Cd19","12478","ENSMUSG00000030724","CD19 antigen"
"215","1429960_at","4930438A08Rik","73988","ENSMUSG00000069873","RIKEN cDNA 4930438A08 gene"
"216","1418770_at","Cd2","12481","ENSMUSG00000027863","CD2 antigen"
"217","1435955_at","Siglecg","243958","ENSMUSG00000030468","sialic acid binding Ig-like lectin G"
"218","1419714_at","Cd274","60533","ENSMUSG00000016496","CD274 antigen"
"219","1417409_at","Jun","16476","ENSMUSG00000052684","jun proto-oncogene"
"220","1448123_s_at","Tgfbi","21810","ENSMUSG00000035493","transforming growth factor, beta induced"
"221","1457666_s_at","Ifi202b","26388","ENSMUSG00000026535","interferon activated gene 202B"
"222","1426956_a_at","Trp53bp1","27223","ENSMUSG00000043909","transformation related protein 53 binding protein 1"
"223","1430612_at","Mcemp1","69189","ENSMUSG00000013974","mast cell expressed membrane protein 1"
"224","1417688_at","Fam20c","80752","ENSMUSG00000025854","FAM20C, golgi associated secretory pathway kinase"
"225","1417780_at","Cers4","67260","ENSMUSG00000008206","ceramide synthase 4"
"226","1418133_at","Bcl3","12051","ENSMUSG00000053175","B cell leukemia/lymphoma 3"
"227","1421211_a_at","Ciita","12265","ENSMUSG00000022504","class II transactivator"
"228","1419307_at","Tnfrsf13c","72049","ENSMUSG00000068105","tumor necrosis factor receptor superfamily, member 13c"
"229","1416858_a_at","Fkbp3","30795","ENSMUSG00000020949","FK506 binding protein 3"
"230","1428492_at","Glipr2","384009","ENSMUSG00000028480","GLI pathogenesis-related 2"
"231","1418747_at","Spi1","20375","ENSMUSG00000002111","spleen focus forming virus (SFFV) proviral integration oncogene"
"232","1419272_at","Myd88","17874","ENSMUSG00000032508","myeloid differentiation primary response gene 88"
"233","1449591_at","Casp4","12363","ENSMUSG00000033538","caspase 4, apoptosis-related cysteine peptidase"
"234","1418398_a_at","Tspan32","27027","ENSMUSG00000000244","tetraspanin 32"
"235","1418830_at","Cd79a","12518","ENSMUSG00000003379","CD79A antigen (immunoglobulin-associated alpha)"
"236","1418300_a_at","Mknk2","17347","ENSMUSG00000020190","MAP kinase-interacting serine/threonine kinase 2"
"237","1417777_at","Ptgr1","67103","ENSMUSG00000028378","prostaglandin reductase 1"
"238","1425216_at","Ffar2","233079","ENSMUSG00000051314","free fatty acid receptor 2"
"239","1429947_a_at","Zbp1","58203","ENSMUSG00000027514","Z-DNA binding protein 1"
"240","1433657_at","Fam78a","241303","ENSMUSG00000050592","family with sequence similarity 78, member A"
"241","1433657_at","Fam78a","241303","ENSMUSG00000090157","family with sequence similarity 78, member A"
"242","1436590_at","Ppp1r3b","244416","ENSMUSG00000046794","protein phosphatase 1, regulatory subunit 3B"
"243","1421052_a_at","Sms","20603","ENSMUSG00000071708","spermine synthase"
"244","1429520_a_at","Acer3","66190","ENSMUSG00000030760","alkaline ceramidase 3"
"245","1422046_at","Itgam","16409","ENSMUSG00000030786","integrin alpha M"
"246","1428141_at","Gga2","74105","ENSMUSG00000030872","golgi associated, gamma adaptin ear containing, ARF binding protein 2"
"247","1433441_at","Fbxl5","242960","ENSMUSG00000039753","F-box and leucine-rich repeat protein 5"
"248","1416957_at","Pou2af1","18985","ENSMUSG00000032053","POU domain, class 2, associating factor 1"
"249","1434331_at","Ago1","236511","ENSMUSG00000041530","argonaute RISC catalytic subunit 1"
"250","1424727_at","Ccr5","12774","ENSMUSG00000079227","C-C motif chemokine receptor 5"
"251","1417840_at","Cep19","66994","ENSMUSG00000035790","centrosomal protein 19"
"252","1420641_a_at","Sqor","59010","ENSMUSG00000005803","sulfide quinone oxidoreductase"
"253","1436033_at","Atosa","235493","ENSMUSG00000034858","atos homolog A"
"254","1433564_at","Dgkd","227333","ENSMUSG00000070738","diacylglycerol kinase, delta"
"255","1428853_at","Ptch1","19206","ENSMUSG00000021466","patched 1"
"256","1435040_at","Irak3","73914","ENSMUSG00000020227","interleukin-1 receptor-associated kinase 3"
"257","1419406_a_at","Bcl11a","14025","ENSMUSG00000000861","BCL11 transcription factor A"
"258","1418468_at","Anxa11","11744","ENSMUSG00000021866","annexin A11"
"259","1427164_at","Il13ra1","16164","ENSMUSG00000017057","interleukin 13 receptor, alpha 1"
"260","1439352_at","Trim7","94089","ENSMUSG00000040350","tripartite motif-containing 7"
"261","1451932_a_at","Adamtsl4","229595","ENSMUSG00000015850","ADAMTS-like 4"
"262","1452966_at","Bcl11b","58208","ENSMUSG00000048251","B cell leukemia/lymphoma 11B"
"263","1449988_at","Gimap1","16205","ENSMUSG00000090019","GTPase, IMAP family member 1"
"264","1437270_a_at","Clcf1","56708","ENSMUSG00000040663","cardiotrophin-like cytokine factor 1"
"265","1433649_at","Kdm1b","218214","ENSMUSG00000038080","lysine (K)-specific demethylase 1B"
"266","1419297_at","H2-Oa","15001","ENSMUSG00000024334","histocompatibility 2, O region alpha locus"
"267","1417640_at","Cd79b","15985","ENSMUSG00000040592","CD79B antigen"
"268","1438018_at","Hook1","77963","ENSMUSG00000028572","hook microtubule tethering protein 1"
"269","1448383_at","Mmp14","17387","ENSMUSG00000000957","matrix metallopeptidase 14 (membrane-inserted)"
"270","1434105_at","Epm2aip1","77781","ENSMUSG00000046785","EPM2A interacting protein 1"
"271","1426988_at","Klhl42","232539","ENSMUSG00000040102","kelch-like 42"
"272","1424852_at","Mef2c","17260","ENSMUSG00000005583","myocyte enhancer factor 2C"
"273","1446715_at","Abca13","268379","ENSMUSG00000004668","ATP-binding cassette, sub-family A member 13"
"274","1451798_at","Il1rn","16181","ENSMUSG00000026981","interleukin 1 receptor antagonist"
"275","1457753_at","Tlr13","279572","ENSMUSG00000033777","toll-like receptor 13"
"276","1416119_at","Txn1","22166","ENSMUSG00000028367","thioredoxin 1"
"277","1449303_at","Sesn3","75747","ENSMUSG00000032009","sestrin 3"
"278","1455530_at","Ighd","380797","ENSMUSG00000104213","immunoglobulin heavy constant delta"
"279","1460271_at","Trem3","58218","ENSMUSG00000041754","triggering receptor expressed on myeloid cells 3"
"280","1448733_at","Bmi1","12151","ENSMUSG00000026739","Bmi1 polycomb ring finger oncogene"
"281","1448361_at","Ttc3","22129","ENSMUSG00000040785","tetratricopeptide repeat domain 3"
"282","1418340_at","Fcer1g","14127","ENSMUSG00000058715","Fc receptor, IgE, high affinity I, gamma polypeptide"
"283","1452316_at","Ints12","71793","ENSMUSG00000028016","integrator complex subunit 12"
"284","1424524_at","Dram1","71712","ENSMUSG00000020057","DNA-damage regulated autophagy modulator 1"
"285","1417710_at","Mettl9","59052","ENSMUSG00000030876","methyltransferase like 9"
"286","1438640_x_at","Pgk1","18655","ENSMUSG00000062070","phosphoglycerate kinase 1"
"287","1425062_at","Fcrl1","229499","ENSMUSG00000059994","Fc receptor-like 1"
"288","1426159_x_at","Tcrb-J","21580",NA,"T cell receptor beta, joining region"
"289","1425225_at","Fcgr4","246256","ENSMUSG00000059089","Fc receptor, IgG, low affinity IV"
"290","1422013_at","Clec4a2","26888","ENSMUSG00000030148","C-type lectin domain family 4, member a2"
"291","1436317_at","Pgap1","241062","ENSMUSG00000073678","post-GPI attachment to proteins 1"
"292","1455291_s_at","Znrf2","387524","ENSMUSG00000058446","zinc and ring finger 2"
"293","1426276_at","Ifih1","71586","ENSMUSG00000026896","interferon induced with helicase C domain 1"
"294","1418991_at","Bak1","12018","ENSMUSG00000057789","BCL2-antagonist/killer 1"
"295","1429889_at","Fcmr","69169","ENSMUSG00000042474","Fc fragment of IgM receptor"
"296","1418578_at","Dgka","13139","ENSMUSG00000025357","diacylglycerol kinase, alpha"
"297","1417719_at","Sap30","60406","ENSMUSG00000031609","sin3 associated polypeptide"
"298","1426774_at","Parp12","243771","ENSMUSG00000038507","poly (ADP-ribose) polymerase family, member 12"
"299","1427711_a_at","Ceacam1","26365","ENSMUSG00000074272","CEA cell adhesion molecule 1"
"300","1451451_at","Gca","227960","ENSMUSG00000026893","grancalcin"
"301","1419165_at","Zfp260","26466","ENSMUSG00000049421","zinc finger protein 260"
"302","1451416_a_at","Tgm1","21816","ENSMUSG00000022218","transglutaminase 1, K polypeptide"
"303","1426607_at","Tmem267","633640","ENSMUSG00000074634","transmembrane protein 267"
"304","1437506_at","Adamts6","108154","ENSMUSG00000046169","ADAM metallopeptidase with thrombospondin type 1 motif 6"
