"","PROBEID","SYMBOL","ENTREZID","ENSEMBL","GENENAME"
"55","1434848_at","Gpr27","14761","ENSMUSG00000072875","G protein-coupled receptor 27"
"56","1458218_s_at","Pde7a","18583","ENSMUSG00000069094","phosphodiesterase 7A"
"57","1423150_at","Scg5","20394","ENSMUSG00000023236","secretogranin V"
"58","1455940_x_at","Wdr6","83669","ENSMUSG00000066357","WD repeat domain 6"
"59","1426159_x_at","Tcrb-J","21580",NA,"T cell receptor beta, joining region"
"60","1437356_at","Gpr183","321019","ENSMUSG00000051212","G protein-coupled receptor 183"
"61","1421479_at","Zfp318","57908","ENSMUSG00000015597","zinc finger protein 318"
"62","1419907_s_at","Fcrla","98752","ENSMUSG00000038421","Fc receptor-like A"
"63","1417297_at","Itpr3","16440","ENSMUSG00000042644","inositol 1,4,5-triphosphate receptor 3"
"64","1436515_at","Bach2","12014","ENSMUSG00000040270","BTB and CNC homology, basic leucine zipper transcription factor 2"
"65","1418578_at","Dgka","13139","ENSMUSG00000025357","diacylglycerol kinase, alpha"
"66","1419178_at","Cd3g","12502","ENSMUSG00000002033","CD3 antigen, gamma polypeptide"
"67","1425706_a_at","Ddb2","107986","ENSMUSG00000002109","damage specific DNA binding protein 2"
"68","1426112_a_at","Cd72","12517","ENSMUSG00000028459","CD72 antigen"
"69","1448511_at","Ptprcap","19265","ENSMUSG00000045826","protein tyrosine phosphatase receptor type C polypeptide-associated protein"
"70","1422105_at","Cd3e","12501","ENSMUSG00000032093","CD3 antigen, epsilon polypeptide"
"71","1429281_at","2610008E11Rik","72128","ENSMUSG00000060301","RIKEN cDNA 2610008E11 gene"
"72","1437113_s_at","Pld1","18805","ENSMUSG00000027695","phospholipase D1"
"73","1436421_s_at","Arpc5l","74192","ENSMUSG00000026755","actin related protein 2/3 complex, subunit 5-like"
"74","1455132_at","Rasal3","320484","ENSMUSG00000052142","RAS protein activator like 3"
"75","1459900_at","C79468","97294",NA,"expressed sequence C79468"
"76","1453181_x_at","Plscr1","22038","ENSMUSG00000032369","phospholipid scramblase 1"
"77","1436033_at","Atosa","235493","ENSMUSG00000034858","atos homolog A"
"78","1458148_at","Nlrc3","268857","ENSMUSG00000049871","NLR family, CARD domain containing 3"
"79","1418300_a_at","Mknk2","17347","ENSMUSG00000020190","MAP kinase-interacting serine/threonine kinase 2"
"80","1421926_at","Mapk11","19094","ENSMUSG00000053137","mitogen-activated protein kinase 11"
"81","1434046_at","AA467197","433470","ENSMUSG00000033213","expressed sequence AA467197"
"82","1422775_at","Blk","12143","ENSMUSG00000014453","B lymphoid kinase"
"83","1433564_at","Dgkd","227333","ENSMUSG00000070738","diacylglycerol kinase, delta"
"84","1435955_at","Siglecg","243958","ENSMUSG00000030468","sialic acid binding Ig-like lectin G"
"85","1435266_at","Scai","320271","ENSMUSG00000035236","suppressor of cancer cell invasion"
"86","1455291_s_at","Znrf2","387524","ENSMUSG00000058446","zinc and ring finger 2"
"87","1419394_s_at","S100a8","20201","ENSMUSG00000056054","S100 calcium binding protein A8 (calgranulin A)"
"88","1434794_at","Rhof","23912","ENSMUSG00000029449","ras homolog family member F (in filopodia)"
"89","1419165_at","Zfp260","26466","ENSMUSG00000049421","zinc finger protein 260"
"90","1452966_at","Bcl11b","58208","ENSMUSG00000048251","B cell leukemia/lymphoma 11B"
"91","1423135_at","Thy1","21838","ENSMUSG00000032011","thymus cell antigen 1, theta"
"92","1420591_at","Gpr84","80910","ENSMUSG00000063234","G protein-coupled receptor 84"
"93","1433966_x_at","Asns","27053","ENSMUSG00000029752","asparagine synthetase"
"94","1425396_a_at","Lck","16818","ENSMUSG00000000409","lymphocyte protein tyrosine kinase"
"95","1449508_at","Il27ra","50931","ENSMUSG00000005465","interleukin 27 receptor, alpha"
"96","1435959_at","Arhgap15","76117","ENSMUSG00000049744","Rho GTPase activating protein 15"
"97","1416814_at","Tia1","21841","ENSMUSG00000071337","cytotoxic granule-associated RNA binding protein 1"
"98","1455340_at","Dennd5b","320560","ENSMUSG00000030313","DENN domain containing 5B"
"99","1416065_a_at","Ankrd10","102334","ENSMUSG00000031508","ankyrin repeat domain 10"
"100","1429319_at","Rhoh","74734","ENSMUSG00000029204","ras homolog family member H"
"101","1454762_at","Xkrx","331524","ENSMUSG00000031258","X-linked Kx blood group related, X-linked"
"102","1454893_at","Entrep3","68521","ENSMUSG00000032657","endosomal transmembrane epsin interactor 3"
"103","1449415_at","Chd1l","68058","ENSMUSG00000028089","chromodomain helicase DNA binding protein 1-like"
"104","1424032_at","Hvcn1","74096","ENSMUSG00000064267","hydrogen voltage-gated channel 1"
"105","1438577_at","Inpp4b","234515","ENSMUSG00000037940","inositol polyphosphate-4-phosphatase, type II"
"106","1434873_a_at","Acap1","216859","ENSMUSG00000001588","ArfGAP with coiled-coil, ankyrin repeat and PH domains 1"
"107","1436423_at","Themis","210757","ENSMUSG00000049109","thymocyte selection associated"
"108","1451370_at","Ccdc107","622404","ENSMUSG00000028461","coiled-coil domain containing 107"
"109","1434758_at","Crispld2","78892","ENSMUSG00000031825","cysteine-rich secretory protein LCCL domain containing 2"
"110","1426396_at","Cd247","12503","ENSMUSG00000005763","CD247 antigen"
"111","1426550_at","Sidt1","320007","ENSMUSG00000022696","SID1 transmembrane family, member 1"
"112","1420330_at","Clec4e","56619","ENSMUSG00000030142","C-type lectin domain family 4, member e"
"113","1448318_at","Plin2","11520","ENSMUSG00000028494","perilipin 2"
"114","1453266_at","Zbtb4","75580","ENSMUSG00000018750","zinc finger and BTB domain containing 4"
"115","1455170_at","2810001G20Rik","66456","ENSMUSG00000087497","RIKEN cDNA 2810001G20 gene"
"116","1452163_at","Ets1","23871","ENSMUSG00000032035","E26 avian leukemia oncogene 1, 5' domain"
"117","1418497_at","Fgf13","14168","ENSMUSG00000031137","fibroblast growth factor 13"
"118","1450808_at","Fpr1","14293","ENSMUSG00000045551","formyl peptide receptor 1"
"119","1425822_a_at","Dtx1","14357","ENSMUSG00000029603","deltex 1, E3 ubiquitin ligase"
"120","1449988_at","Gimap1","16205","ENSMUSG00000090019","GTPase, IMAP family member 1"
"121","1453119_at","Otud1","71198","ENSMUSG00000043415","OTU domain containing 1"
"122","1435664_at","Zfp397","69256","ENSMUSG00000024276","zinc finger protein 397"
"123","1448722_s_at","Ppcs","106564","ENSMUSG00000028636","phosphopantothenoylcysteine synthetase"
"124","1434105_at","Epm2aip1","77781","ENSMUSG00000046785","EPM2A interacting protein 1"
"125","1438164_x_at","Flot2","14252","ENSMUSG00000061981","flotillin 2"
"126","1454699_at","Sesn1","140742","ENSMUSG00000038332","sestrin 1"
"127","1418655_at","B4galnt1","14421","ENSMUSG00000006731","beta-1,4-N-acetyl-galactosaminyl transferase 1"
"128","1433794_at","Setx","269254","ENSMUSG00000043535","senataxin"
"129","1424029_at","Tspyl4","72480","ENSMUSG00000039485","TSPY-like 4"
"130","1456377_x_at","Limd2","67803","ENSMUSG00000040699","LIM domain containing 2"
"131","1455452_x_at","Kctd14","233529","ENSMUSG00000051727","potassium channel tetramerisation domain containing 14"
"132","1451342_at","Spon1","233744","ENSMUSG00000038156","spondin 1, (f-spondin) extracellular matrix protein"
"133","1455700_at","Mterf2","74238","ENSMUSG00000049038","mitochondrial transcription termination factor 2"
"134","1424489_a_at","Trit1","66966","ENSMUSG00000028653","tRNA isopentenyltransferase 1"
"135","1428637_at","Dyrk2","69181","ENSMUSG00000028630","dual-specificity tyrosine phosphorylation regulated kinase 2"
"136","1434958_at","Sacs","50720","ENSMUSG00000048279","sacsin"
"137","1437760_at","Galnt12","230145","ENSMUSG00000039774","polypeptide N-acetylgalactosaminyltransferase 12"
"138","1417971_at","Nrm","106582","ENSMUSG00000059791","nurim (nuclear envelope membrane protein)"
"139","1427844_a_at","Cebpb","12608","ENSMUSG00000056501","CCAAT/enhancer binding protein beta"
"140","1415964_at","Scd1","20249","ENSMUSG00000037071","stearoyl-Coenzyme A desaturase 1"
"141","1427532_at","Trat1","77647","ENSMUSG00000030775","T cell receptor associated transmembrane adaptor 1"
"142","1427233_at","Tshz1","110796","ENSMUSG00000046982","teashirt zinc finger family member 1"
"143","1429088_at","Lbh","77889","ENSMUSG00000024063","limb-bud and heart"
"144","1424850_at","Map3k1","26401","ENSMUSG00000021754","mitogen-activated protein kinase kinase kinase 1"
"145","1426640_s_at","Trib2","217410","ENSMUSG00000020601","tribbles pseudokinase 2"
"146","1418640_at","Sirt1","93759","ENSMUSG00000020063","sirtuin 1"
"147","1452897_at","Cdk13","69562","ENSMUSG00000041297","cyclin dependent kinase 13"
"148","1433428_x_at","Tgm2","21817","ENSMUSG00000037820","transglutaminase 2, C polypeptide"
"149","1433657_at","Fam78a","241303","ENSMUSG00000050592","family with sequence similarity 78, member A"
"150","1433657_at","Fam78a","241303","ENSMUSG00000090157","family with sequence similarity 78, member A"
"151","1436038_a_at","Pigp","56176","ENSMUSG00000022940","phosphatidylinositol glycan anchor biosynthesis, class P"
"152","1429005_at","Mfhas1","52065","ENSMUSG00000070056","malignant fibrous histiocytoma amplified sequence 1"
"153","1423467_at","Ms4a4b","60361","ENSMUSG00000056290","membrane-spanning 4-domains, subfamily A, member 4B"
"154","1424632_a_at","Rev3l","19714","ENSMUSG00000019841","REV3 like, DNA directed polymerase zeta catalytic subunit"
"155","1438195_at","Gpd1l","333433","ENSMUSG00000050627","glycerol-3-phosphate dehydrogenase 1-like"
"156","1427983_at","Zfp280c","208968","ENSMUSG00000036916","zinc finger protein 280C"
"157","1422828_at","Cd3d","12500","ENSMUSG00000032094","CD3 antigen, delta polypeptide"
"158","1439352_at","Trim7","94089","ENSMUSG00000040350","tripartite motif-containing 7"
"159","1418770_at","Cd2","12481","ENSMUSG00000027863","CD2 antigen"
"160","1434573_at","Traf3ip3","215243","ENSMUSG00000037318","TRAF3 interacting protein 3"
"161","1436317_at","Pgap1","241062","ENSMUSG00000073678","post-GPI attachment to proteins 1"
"162","1452024_a_at","Ldb1","16825","ENSMUSG00000025223","LIM domain binding 1"
"163","1460403_at","Psip1","101739","ENSMUSG00000028484","PC4 and SFRS1 interacting protein 1"
"164","1433756_at","S100pbp","74648","ENSMUSG00000040928","S100P binding protein"
"165","1455696_a_at","Prpf4b","19134","ENSMUSG00000021413","pre-mRNA processing factor 4B"
"166","1456615_a_at","Bptf","207165","ENSMUSG00000040481","bromodomain PHD finger transcription factor"
"167","1434935_at","Aak1","269774","ENSMUSG00000057230","AP2 associated kinase 1"
"168","1448788_at","Cd200","17470","ENSMUSG00000022661","CD200 molecule"
"169","1416542_at","Phf1","21652","ENSMUSG00000024193","PHD finger protein 1"
"170","1425628_a_at","Gtf2i","14886","ENSMUSG00000060261","general transcription factor II I"
"171","1428231_at","Cpsf6","432508","ENSMUSG00000055531","cleavage and polyadenylation specific factor 6"
"172","1427381_at","Acod1","16365","ENSMUSG00000022126","aconitate decarboxylase 1"
"173","1455189_at","Trim33","94093","ENSMUSG00000033014","tripartite motif-containing 33"
"174","1426988_at","Klhl42","232539","ENSMUSG00000040102","kelch-like 42"
"175","1448420_a_at","Fbxl12","30843","ENSMUSG00000066892","F-box and leucine-rich repeat protein 12"
"176","1427322_at","Brwd1","93871","ENSMUSG00000022914","bromodomain and WD repeat domain containing 1"
"177","1438968_x_at","Spint2","20733","ENSMUSG00000074227","serine protease inhibitor, Kunitz type 2"
"178","1419033_at","Stk26","70415","ENSMUSG00000031112","serine/threonine kinase 26"
"179","1433811_at","Mllt6","246198","ENSMUSG00000038437","myeloid/lymphoid or mixed-lineage leukemia; translocated to, 6"
"180","1436941_at","Nxpe3","385658","ENSMUSG00000075033","neurexophilin and PC-esterase domain family, member 3"
"181","1426297_at","Tcf3","21423","ENSMUSG00000020167","transcription factor 3"
"182","1455107_at","Srpk1","20815","ENSMUSG00000004865","serine/arginine-rich protein specific kinase 1"
"183","1454850_at","Tbc1d10c","108995","ENSMUSG00000040247","TBC1 domain family, member 10c"
"184","1458978_at","Pax5","18507","ENSMUSG00000014030","paired box 5"
"185","1422478_a_at","Acss2","60525","ENSMUSG00000027605","acyl-CoA synthetase short-chain family member 2"
"186","1418162_at","Tlr4","21898","ENSMUSG00000039005","toll-like receptor 4"
"187","1423466_at","Ccr7","12775","ENSMUSG00000037944","C-C motif chemokine receptor 7"
"188","1435772_at","Kif21b","16565","ENSMUSG00000041642","kinesin family member 21B"
"189","1451537_at","Chi3l1","12654","ENSMUSG00000064246","chitinase 3 like 1"
"190","1448919_at","Cd302","66205","ENSMUSG00000060703","CD302 antigen"
"191","1433557_at","Cbx7","52609","ENSMUSG00000053411","chromobox 7"
"192","1428408_a_at","Esyt2","52635","ENSMUSG00000021171","extended synaptotagmin-like protein 2"
"193","1426113_x_at","Trav9d-3","100038850","ENSMUSG00000095495","T cell receptor alpha variable 9D-3"
"194","1436395_at","Card6","239319","ENSMUSG00000041849","caspase recruitment domain family, member 6"
"195","1419226_at","Cd96","84544","ENSMUSG00000022657","CD96 antigen"
"196","1433769_at","Als2cl","235633","ENSMUSG00000044037","ALS2 C-terminal like"
"197","1421164_a_at","Arhgef1","16801","ENSMUSG00000040940","Rho guanine nucleotide exchange factor 1"
"198","1448361_at","Ttc3","22129","ENSMUSG00000040785","tetratricopeptide repeat domain 3"
"199","1425718_a_at","Ivns1abp","117198","ENSMUSG00000023150","influenza virus NS1A binding protein"
"200","1447284_at","Trem1","58217","ENSMUSG00000042265","triggering receptor expressed on myeloid cells 1"
"201","1448829_at","Smc6","67241","ENSMUSG00000020608","structural maintenance of chromosomes 6"
"202","1434833_at","Map4k2","26412","ENSMUSG00000024948","mitogen-activated protein kinase kinase kinase kinase 2"
"203","1426218_at","Glcci1","170772","ENSMUSG00000029638","glucocorticoid induced transcript 1"
"204","1433669_at","Akap8","56399","ENSMUSG00000024045","A kinase anchor protein 8"
"205","1424988_at","Mylip","218203","ENSMUSG00000038175","myosin regulatory light chain interacting protein"
"206","1416514_a_at","Fscn1","14086","ENSMUSG00000029581","fascin actin-bundling protein 1"
"207","1426473_at","Dnajc9","108671","ENSMUSG00000021811","DnaJ heat shock protein family (Hsp40) member C9"
"208","1435343_at","Dock10","210293","ENSMUSG00000038608","dedicator of cytokinesis 10"
"209","1426168_a_at","Trac","100101484",NA,"T cell receptor alpha constant"
"210","1460620_at","Zfp592","233410","ENSMUSG00000005621","zinc finger protein 592"
"211","1435068_at","Pip4k2b","108083","ENSMUSG00000018547","phosphatidylinositol-5-phosphate 4-kinase, type II, beta"
"212","1429155_at","Cfap97","66756","ENSMUSG00000031631","cilia and flagella associated protein 97"
"213","1425927_a_at","Atf5","107503","ENSMUSG00000038539","activating transcription factor 5"
"214","1424039_at","Saraf","67887","ENSMUSG00000031532","store-operated calcium entry-associated regulatory factor"
"215","1422952_at","Sapcd1","78376","ENSMUSG00000036185","suppressor APC domain containing 1"
"216","1451780_at","Blnk","17060","ENSMUSG00000061132","B cell linker"
"217","1417268_at","Cd14","12475","ENSMUSG00000051439","CD14 antigen"
"218","1460363_at","Tnrc6c","217351","ENSMUSG00000025571","trinucleotide repeat containing 6C"
"219","1417384_at","Entpd5","12499","ENSMUSG00000021236","ectonucleoside triphosphate diphosphohydrolase 5"
"220","1437709_x_at","Ttc13","234875","ENSMUSG00000037300","tetratricopeptide repeat domain 13"
"221","1434493_at","Rbis","69126","ENSMUSG00000078784","ribosomal biogenesis factor"
"222","1419976_s_at","Nfatc3","18021","ENSMUSG00000031902","nuclear factor of activated T cells, cytoplasmic, calcineurin dependent 3"
"223","1457666_s_at","Ifi202b","26388","ENSMUSG00000026535","interferon activated gene 202B"
"224","1427442_a_at","App","11820","ENSMUSG00000022892","amyloid beta precursor protein"
"225","1418398_a_at","Tspan32","27027","ENSMUSG00000000244","tetraspanin 32"
"226","1426207_at","Ikbkb","16150","ENSMUSG00000031537","inhibitor of kappaB kinase beta"
"227","1427208_at","Zfp451","98403","ENSMUSG00000042197","zinc finger protein 451"
"228","1460330_at","Anxa3","11745","ENSMUSG00000029484","annexin A3"
"229","1436329_at","Egr3","13655","ENSMUSG00000033730","early growth response 3"
"230","1433475_a_at","Fam8a1","97863","ENSMUSG00000069237","family with sequence similarity 8, member A1"
"231","1436608_at","Pced1b","239647","ENSMUSG00000044250","PC-esterase domain containing 1B"
"232","1454734_at","Lef1","16842","ENSMUSG00000027985","lymphoid enhancer binding factor 1"
"233","1419406_a_at","Bcl11a","14025","ENSMUSG00000000861","BCL11 transcription factor A"
"234","1455031_at","Cdk19","78334","ENSMUSG00000038481","cyclin dependent kinase 19"
"235","1437025_at","Cd28","12487","ENSMUSG00000026012","CD28 antigen"
"236","1429672_at","5830407E08Rik","76013",NA,"RIKEN cDNA 5830407E08 gene"
"237","1423571_at","S1pr1","13609","ENSMUSG00000045092","sphingosine-1-phosphate receptor 1"
"238","1423608_at","Itm2a","16431","ENSMUSG00000031239","integral membrane protein 2A"
"239","1434331_at","Ago1","236511","ENSMUSG00000041530","argonaute RISC catalytic subunit 1"
"240","1420697_at","Slc15a3","65221","ENSMUSG00000024737","solute carrier family 15, member 3"
"241","1437514_at","B430306N03Rik","320148","ENSMUSG00000043740","RIKEN cDNA B430306N03 gene"
"242","1428029_a_at","H2az2","77605","ENSMUSG00000041126","H2A.Z histone variant 2"
"243","1416858_a_at","Fkbp3","30795","ENSMUSG00000020949","FK506 binding protein 3"
"244","1422850_at","Pabpn1","54196","ENSMUSG00000022194","poly(A) binding protein, nuclear 1"
"245","1435666_at","Mast3","546071","ENSMUSG00000031833","microtubule associated serine/threonine kinase 3"
"246","1440202_at","5930412I24Rik","109206",NA,"RIKEN cDNA 5930412I24 gene"
"247","1449838_at","Crisp3","11572","ENSMUSG00000025433","cysteine-rich secretory protein 3"
"248","1451462_a_at","Ifnar2","15976","ENSMUSG00000022971","interferon (alpha and beta) receptor 2"
"249","1419647_a_at","Ier3","15937","ENSMUSG00000003541","immediate early response 3"
"250","1417460_at","Ifitm2","80876","ENSMUSG00000060591","interferon induced transmembrane protein 2"
"251","1454987_a_at","Hsd17b8","14979","ENSMUSG00000073422","hydroxysteroid 17-beta dehydrogenase 8"
"252","1416708_a_at","Gramd1a","52857","ENSMUSG00000001248","GRAM domain containing 1A"
"253","1421211_a_at","Ciita","12265","ENSMUSG00000022504","class II transactivator"
"254","1426628_at","Tmem184c","234463","ENSMUSG00000031617","transmembrane protein 184C"
"255","1428719_at","Iglc2","110786","ENSMUSG00000076937","immunoglobulin lambda constant 2"
"256","1437249_at","Skap1","78473","ENSMUSG00000057058","src family associated phosphoprotein 1"
"257","1418201_at","Plekhg2","101497","ENSMUSG00000037552","pleckstrin homology domain containing, family G (with RhoGef domain) member 2"
"258","1454857_at","Rnf122","68867","ENSMUSG00000039328","ring finger protein 122"
"259","1426863_at","Rbmx","19655","ENSMUSG00000031134","RNA binding motif protein, X chromosome"
"260","1457035_at","Ifi207","226691","ENSMUSG00000073490","interferon activated gene 207"
"261","1437341_x_at","Cnp","12799","ENSMUSG00000006782","2',3'-cyclic nucleotide 3' phosphodiesterase"
"262","1427197_at","Atr","245000","ENSMUSG00000032409","ataxia telangiectasia and Rad3 related"
"263","1448881_at","Hp","15439","ENSMUSG00000031722","haptoglobin"
"264","1456411_at","Rccd1","269955","ENSMUSG00000038930","RCC1 domain containing 1"
"265","1428141_at","Gga2","74105","ENSMUSG00000030872","golgi associated, gamma adaptin ear containing, ARF binding protein 2"
"266","1438969_x_at","Dhx30","72831","ENSMUSG00000032480","DExH-box helicase 30"
"267","1428883_at","Maco1","66146","ENSMUSG00000028826","macoilin 1"
"268","1433795_at","Tgfbr3","21814","ENSMUSG00000029287","transforming growth factor, beta receptor III"
"269","1451910_a_at","Cd6","12511","ENSMUSG00000024670","CD6 antigen"
"270","1452857_at","Crebzf","233490","ENSMUSG00000051451","CREB/ATF bZIP transcription factor"
"271","1451523_a_at","Mif4gd","69674","ENSMUSG00000020743","MIF4G domain containing"
"272","1460174_at","Dexi","58239","ENSMUSG00000038055","dexamethasone-induced transcript"
"273","1437270_a_at","Clcf1","56708","ENSMUSG00000040663","cardiotrophin-like cytokine factor 1"
"274","1419307_at","Tnfrsf13c","72049","ENSMUSG00000068105","tumor necrosis factor receptor superfamily, member 13c"
"275","1434397_at","Zdhhc17","320150","ENSMUSG00000035798","zinc finger, DHHC domain containing 17"
"276","1450194_a_at","Myb","17863","ENSMUSG00000019982","myeloblastosis oncogene"
"277","1426774_at","Parp12","243771","ENSMUSG00000038507","poly (ADP-ribose) polymerase family, member 12"
"278","1434260_at","Fchsd2","207278","ENSMUSG00000030691","FCH and double SH3 domains 2"
"279","1455042_at","Tbl1x","21372","ENSMUSG00000025246","transducin (beta)-like 1 X-linked"
"280","1425951_a_at","Clec4n","56620","ENSMUSG00000023349","C-type lectin domain family 4, member n"
"281","1428727_at","Cep192","70799","ENSMUSG00000024542","centrosomal protein 192"
"282","1451190_a_at","Sbk1","104175","ENSMUSG00000042978","SH3-binding kinase 1"
"283","1430143_at","4930426D05Rik","74644","ENSMUSG00000043168","RIKEN cDNA 4930426D05 gene"
"284","1435346_at","Ccdc82","66396","ENSMUSG00000079084","coiled-coil domain containing 82"
"285","1419709_at","Stfa3","20863","ENSMUSG00000054905","stefin A3"
"286","1433979_at","Rbms2","56516","ENSMUSG00000040043","RNA binding motif, single stranded interacting protein 2"
"287","1421375_a_at","S100a6","20200","ENSMUSG00000001025","S100 calcium binding protein A6 (calcyclin)"
"288","1422886_a_at","Clk4","12750","ENSMUSG00000020385","CDC like kinase 4"
"289","1425553_s_at","Hip1r","29816","ENSMUSG00000000915","huntingtin interacting protein 1 related"
"290","1434236_at","Zdhhc20","75965","ENSMUSG00000021969","zinc finger, DHHC domain containing 20"
"291","1416111_at","Cd83","12522","ENSMUSG00000015396","CD83 antigen"
"292","1427670_a_at","Tcf12","21406","ENSMUSG00000032228","transcription factor 12"
"293","1448101_s_at","Trim27","19720","ENSMUSG00000021326","tripartite motif-containing 27"
"294","1454996_at","Hsdl1","72552","ENSMUSG00000034189","hydroxysteroid dehydrogenase like 1"
"295","1420361_at","Slc11a1","18173","ENSMUSG00000026177","solute carrier family 11 (proton-coupled divalent metal ion transporters), member 1"
"296","1423919_at","Haus3","231123","ENSMUSG00000079555","HAUS augmin-like complex, subunit 3"
"297","1415758_at","Fryl","72313","ENSMUSG00000070733","FRY like transcription coactivator"
"298","1438442_at","Sike1","66641","ENSMUSG00000027854","suppressor of IKBKE 1"
"299","1452367_at","Coro2a","107684","ENSMUSG00000028337","coronin, actin binding protein 2A"
"300","1434333_a_at","Prkd2","101540","ENSMUSG00000041187","protein kinase D2"
"301","1428162_at","Lrif1","321000","ENSMUSG00000056260","ligand dependent nuclear receptor interacting factor 1"
"302","1419909_at","Mphosph9","269702","ENSMUSG00000038126","M-phase phosphoprotein 9"
